char,bitmap_hex
SPACE,0000000000000000
+,0018187E18180000
-,000000FE00000000
.,0000000000181800
/,060C183060C08000
%,C6CC183066C60000
0,7CC6CEDEF6E67C00
1,1838181818187E00
2,7CC6060C3060FE00
3,7CC6061C06C67C00
4,0C1C3C6CFE0C0C00
5,FEC0FC0606C67C00
6,3C60C0FCC6C67C00
7,FE06060C18181800
8,7CC6C67CC6C67C00
9,7CC6C67E06067C00
:,0018180018180000
(,0C18303030180C00
),30180C0C0C183000
!,1818181818001800
*,0066663CFF3C6600
[,3C30303030303C00
],3C0C0C0C0C0C3C00
A,386CC6FEC6C6C600
B,FC66667C6666FC00
C,3C66C0C0C0663C00
D,F86C6666666CF800
E,FE6268786862FE00
F,FE6268786860F000
G,3C66C0C0CE663E00
H,C6C6C6FEC6C6C600
I,3C18181818183C00
J,1E0C0C0CCCCC7800
K,C6CCD8F0D8CCC600
L,F06060606266FE00
M,C6EEFEFED6C6C600
N,C6E6F6DECEC6C600
O,7CC6C6C6C6C67C00
P,FC66667C6060F000
Q,7CC6C6C6D6DE7C06
R,FC66667C6C66F200
S,7CC6C07C06C67C00
T,7E5A181818183C00
U,C6C6C6C6C6C67C00
V,C6C6C6C66C381000
W,C6C6D6FEEEC6C600
X,C66C38386CC6C600
Y,6666663C18183C00
Z,FE860C183062FE00
a,0000780C7CCC7600
b,E060607C6666DC00
c,00007CC6C0C67C00
d,1C0C0C7CCCCC7600
e,00007CC6FEC07C00
f,1C3630FC30303000
g,000076CCCC7C0CF8
h,E0606C766666E600
i,1800381818183C00
j,0600060606C67C00
k,E060666C786CE600
l,3818181818183C00
m,0000ECFED6D6C600
n,0000DC6666666600
o,00007CC6C6C67C00
p,0000DC667C60F000
q,000076CC7C0C1E00
r,0000DC7660606000
s,00007CC07C06FC00
t,1030FC3030361C00
u,0000CCCCCCCC7600
v,0000C6C66C381000
w,0000C6D6FEEE4400
x,0000C66C386CC600
y,0000C6C67E060CFC
z,0000FC983064FC00
COMMA,0000000000181830
?,7CC60C1818001800
